song,artist,genres
Most Beautiful,Smooth Lounge Piano,['pianissimo']
Precioso Jesus,Gabriel Navarro,['latin talent show']
Maggie Valley Bound,Raymond Fairchild,"['banjo', 'traditional bluegrass']"
Nighttime Mind Booster_ Night Time Affirmations,Jason Stephenson,"['432hz', 'guided meditation']"
The Company I Keep,Jimmy Donn,['horrorcore']
Besos Y Caricias (En Vivo),Los Morros del Valle,['corridos tumbados']
I Got You,Madd Marvin,"['baton rouge rap', 'deep southern trap']"
NoLimitRetro _ Battle at Sunset !!!,Tae Retro,['meme rap']
"Ouverture-Suite in G Minor, TWV 55_g4_ IV_ Les capricieuses",Georg Philipp Telemann,"['baroque', 'classical', 'early music', 'german baroque']"
Cali Luv,Maj4l,"['cali rap', 'westcoast flow']"
Pelea,Voz Celestial,['adoracion']
Lover Man (Oh Where Can You Be_),Shirley Horn,['vocal jazz']
Mr_ Brownstone,Rock the Cradle,['lullaby']
Emoji Kiss,Kizzl,['pittsburgh rap']
Perfect Gift,Natalie Hemby,['country pop']
Love Like We Used To - Acoustic,Troy Cartwright,"['country pop', 'modern country pop']"
Hol van az a lány - Roberto Rios x Dan Sparks VIP Mix,DR BRS,['hungarian pop']
Ashokan Farewell _ Dawg's Waltz,Muddy Marsh Ramblers,['old-time fiddle']
Fun & Games (Freestyle),Zotiyac,"['dark trap', 'scream rap']"
Give My Regards to the Tigers,Roboctopus,['chiptune']
Dark Side of Town,The Young Step,['jacksonville indie']
Comfort,Siam Jem,['socal indie']
Drawing Your Curiosities,Jellybean Green ASMR,['asmr']
F_cked Up,Jucee Froot,['trap queen']
Sammys Freilach,Joscho Stephan,"['gypsy jazz', 'jazz guitar']"
It Came Upon the Midnight Clear,Sedona Breeze,['christmas instrumental']
Takes One to Know One,Julia Sheer,['viral pop']
Can't Keep Up,Fire Fences,"['welsh indie', 'welsh rock']"
Opatereo - En Vivo,David Blanco,['trova']
"The Ghosts Have Eaten Well - Live at Tradfest, The Pepper Canister, Dublin, January 25th 2019",The Black Feathers,['uk americana']
Devil,Bluphoria,['eugene indie']
UNPLEASANT FUTURE,Corrupt Vision,['crack rock steady']
Real Life,Sha Gualla,['new york drill']
Life's a Trip (Remix),Def3,"['canadian hip hop', 'outer hip hop']"
Toynbee Idea,The Capitalist Kids,['diy pop punk']
Ay Lastima Engani Ji Shani Kauicheka,Grupo Fuerza Purhepecha,['musica purepecha']
FREE SMOKE PT2,Lil juan,['dmv rap']
Hidden Feelings - Acoustic,Kyan Palmer,['la pop']
Run That Bacc,Chucc 1,['polynesian hip hop']
Supah Bounce,TVBOO,['experimental bass']
We Three Kings,The Lowdown Drifters,"['red dirt', 'texas country']"
Evergreen Scene,Moka Only,"['bc underground hip hop', 'canadian hip hop', 'canadian old school hip hop', 'jazz rap']"
No One Loves You (The Way That I Do),Chance McCoy,['kentucky roots']
Sbarra - Tarantella,Smart Baby Lullaby,"['lullaby', 'nursery']"
Shattered Thoughts,Multo,['la hardcore']
Keys to the Streets (feat_ Tee Grizzley),Cash Click Boog,"['cali rap', 'detroit trap']"
American Freeborn Kids,Joe Stamm Band,['roots americana']
Quelque part ailleurs,ZAKO,['rap algerien']
The Call of the Faithful,Gost,['synthwave']
Woke Up,777villain,['rage rap']
Chapel Jam,Spafford,['jam band']
Another Medium (Undertale Remix),Dj Cutman,"['lo-fi vgm', 'otacore', 'pixel', 'vgm remix']"
We The Ones,WeezGotti,['cali rap']
She Even Woke Me Up to Say Goodbye,The Del McCoury Band,"['bluegrass', 'jam band', 'progressive bluegrass']"
Monochrome (feat_ Gruff Rhys) - Portrait Version,Yann Tiersen,"['compositional ambient', 'french soundtrack']"
Kopf oder Zahl - Radio Version,Uta Bresan,"['classic schlager', 'discofox', 'schlager', 'volksmusik']"
Thorough Downpour,Rain Sounds & Nature Sounds,"['environmental', 'sound']"
Thinking Bout U,Kodie Shane,"['atl hip hop', 'trap queen']"
Selfie Ze Mną Zrób,Selfie,['fake']
"Wise Woman - Live from Asheville, NC 2016",Aaron Woody Wood,['asheville indie']
Break Down (feat_ Keno),dEVOLVE,['basshall']
Don't Worry,Bei Ru,['armenian folk']
Call Your Name (From _Attack on Titan_),Studio Yuraki,['otacore']
I AM _ AM I,The Lioness,['minnesota hip hop']
"Down Bad (feat_ JID, Bas, J_ Cole, EARTHGANG & Young Nudy)",Dreamville,"['hip hop', 'pop rap', 'rap']"
Ghost - Solis & Sean Truby Remix,JES,"['trance', 'vocal trance']"
Siberia,Electricsheep42,['focus beats']
Prende El Arbolito,PlenaSon,"['bomba y plena', 'puerto rican folk']"
Lune,Bairoa,['puerto rican indie']
No Kap,Tony Shhnow,"['dark plugg', 'dream plugg', 'plugg', 'pluggnb']"
Current,Jogging House,"['ambient synth', 'frankfurt electronic', 'modular synth']"
A Menace,Mando Audio,['meme rap']
T_ Allen Dick,Serpentfoot,['denver indie']
Won't Fuck If She Walkn (feat_ Ftr Drama),Kizzl,['pittsburgh rap']
Su Mujer,Veronique Medrano,['new tejano']
No More Time to Waste,Study + Chill LoFi,['lo-fi product']
Love Yourself (feat_ Pako Morín & Esteban Quintanilla),RM,"['birmingham hip hop', 'charva']"
O Christmas To You (Atheist Mix),Phil Kuhlenbeck,['rain']
More of You (feat_ Carvena Jones & Tela),Jabari Johnson,['contemporary gospel']
Museum (From _Paper Mario_ The Origami King_) [Piano Version],Streaming Music Studios,['anime score']
Walkin' the Floor,Mike Bloomfield,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'traditional blues']"
Drips Gold (feat_ Raja Kumari),Eden xo,['electropop']
Diesel Gang - Acoustic,Katie Noel,"['country rap', 'redneck']"
Operate,sKitz Kraven,['country rap']
Holy Ghost,Desiigner,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']"
Under the Gun,Toner,['american shoegaze']
Want U,WEVLTH,['wave']
Natural Pads,Calming Sounds,['sleep']
Aj Saj Gaya Seher Lahore,Arif Feroz Khan Qawwal,['qawwali']
The Plug,Worldwide,['san antonio rap']
Llego El Ausente,Los Rebeldes del Norte,"['classic sierreno', 'tololoche']"
When Was the Last Time,Safety Orange,"['reggae rock', 'west coast reggae']"
Smoke Everyday,Alicia Goku,['trap queen']
El Ayudante 25 Aniversario - En Vivo,Beto Vega,"['corrido', 'sierreno']"
"Piano Sonatina No_ 1, Op_ 43 No_ 1_ III_ Presto",Gunnar de Frumerie,['swedish contemporary classical']
Heinous Christmas,38Kea,['chill breakcore']
Hallelujah After Dark,Jake Wells,['kc indie']
In State Outta State,Father,['underground hip hop']
Next Up,Ekoh,['indie pop rap']
The House My Daddy Built,Baillie & The Boys,"['classic country pop', 'country dawn']"
Hype - Original Mix,D3FAI,"['big room', 'sky room']"
Lifelight (From _Super Smash Bros_ Ultimate_),Player2,['vgm remix']
Gift to You,Daron Jones,['atl hip hop']
"Symphony No_ 10, _American Muse__ I_ Con fuoco",William Schuman,"['american modern classical', 'concert band', 'early modern classical']"
The Call of Ktulu,Gregorio Franco,"['cyberpunk', 'darksynth']"
Newz,Fruit Juice,['olympia wa indie']
Obra de Tus Manos,Los Atalayas,['corridos cristianos']
Reason to Doubt,Charles Walker,['charlotte nc indie']
Tell Me You Don't Love Me Watching,ONBC,['danish indie pop']
One Night Stand,Abobo,['synthwave']
My Squad - LA Rams Anthem,Problem,"['hyphy', 'trap', 'west coast trap']"
Up & Down,Miss Lady Blues,['southern soul blues']
Em Khong Xung Dang,Vũ Duy Khánh,"['v-pop', 'vinahouse']"
I Ran (So Far Away),Debris of Titan,['indie psychedelic rock']
Bag (feat_ Gunna & Lil Duke),Jose Guapo,['atl trap']
Open Waters,Headphone Activist,['bass trap']
Raining Pride,Loopable ASMR,['asmr']
KONOSUBA RAP,Freesoul,"['anime drill', 'anime rap']"
If You Knew Better,Eearz,['atl trap']
Stuck In Love,Anneston,['lao hip hop']
Famous,8-Bit Misfits,"['8-bit', 'chiptune']"
Pain - The Soft Moon Remix,Boy Harsher,"['grave wave', 'western mass indie']"
"Don't Worry, I'm Here To MELT Away Your WORRIES Pt_2",Karuna Satori ASMR,['asmr']
Underdog (feat_ Aaron Cole),Roy Tosh,"['christian hip hop', 'christian pop', 'christian trap']"
Can't Trust A Soul (feat_ PnB Rock),Dreezy,"['chicago rap', 'drill', 'trap queen']"
S-Auzit in Galilea (Marc 1_15),Ruben Birle,['muzica crestina']
Ghost Boogie,Hi I'm Ghost,"['brostep', 'dubstep', 'gaming dubstep', 'riddim dubstep']"
Catalonia,Liance,"['experimental folk', 'grand rapids indie']"
Scars & Stars,Nameless in August,['pittsburgh indie']
Luck of a Liar,Matt Pryor,['lawrence ks indie']
FOLLOW MY JRIP,KT,['florida rap']
My Place,Yhung T_O_,['cali rap']
Someday Sweetheart,Woody Herman,"['big band', 'cool jazz', 'swing', 'vintage jazz']"
El Mil Amores,Las Marías,['regional mexicano femenil']
Ponakin {White Thorn},Belarisk,['new england experimental']
Baby c'est vous,Sylvie Vartan,"['chanson', 'ye ye']"
Stay Down,Mike Jones,['dirty south rap']
